 Name,Description,Temperament,Image,Price,Hypoallergenic
American Hairless Terrier,"The American Hairless Terrier is a smoothly muscled, active, smallest to small terrier. The preferred ratio of length of body (prosternum to point of buttocks) to height (withers to ground) to is 10:9. The head is broad, slightly domed, wedge-shaped, and proportionate to the size of the body. Ears are V-shaped, set at the outside edges of the skull, and may be erect, tipped or button. Both varieties may have a natural tail carried in an upward curve, or the tail may be docked in dogs of the coated variety. The American Hairless Terrier comes in a number of skin colors and patterns (hairless variety) and coat colors and patterns (coated variety).","The American Hairless Terrier is an energetic, alert dog whose curiosity and intelligence make him easy to train. The ancestors of this breed were bred to hunt. The lack of coat makes the hairless variety unsuited for hunting, but both varieties still have a strong hunting instinct and the coated dogs are fearless, tenacious hunters with seemingly unlimited energy. The American Hairless Terrier is an exceptionally friendly companion, getting along well with children, other dogs, and even cats. American Hairless Terriers enjoy human companionship immensely and will enthusiastically share any activity with their owners. The hairless dogs require protection from the sun and winter cold weather. American Hairless Terriers should not be sparred during conformation judging.",https://www.dogbreedslist.info/uploads/dog-pictures/american-hairless-terrier-2.jpg,Average $2000 - $4000 USD,Hypoallergenic: Yes
Australian Terrier,"The Australian Terrier is small, sturdy and medium-boned; it is long in proportion to height. This is a working terrier that should exhibit a ground-covering gait and hard condition. Its weatherproof coat is made up of a short, soft undercoat and a harsh, straight, outer coat, about 2.5 inches long, shorter on the tail and lower legs. It sports a ruff around the neck and a topknot of longer hair adds to its keen, intelligent expression.","One of the quieter terriers, the Aussie is nonetheless a plucky, tough character, ready to go after a rodent when the chance arises. It is fun-loving and adventurous, and needs daily exercise to keep it from becoming frustrated. It is clever and generally eager to please, making it one of the more obedient terriers. It gets along fairly well with other dogs and household pets. It is reserved with strangers. Reflecting its earth dog heritage, it does like to dig.",https://www.dogbreedslist.info/uploads/dog-pictures/australian-terrier-2.jpg,Average $1200 - $1500 USD,Hypoallergenic: Yes
American Water Spaniel,"The American water spaniel packs a lot of ability into a comparatively small dog. Its muzzle is long and strong enough to carry a large goose, and it has strong quarters to propel it through water and over land. It is slightly longer than tall, solidly built and muscular. The coat can range from uniform waves (marcel) to close curls, with a dense undercoat. This combination provides protection against weather, water or briars. The ears are well-covered with hair, which should not grow into the ear canal. The gait is balanced, with reach and drive.","As its name implies, the American water spaniel is a natural lover of water. Not only is it a skilled retriever and versatile hunter, but it is also a tractable fun-loving family dog — as long as it gets regular physical and mental exercise. It is sensitive and willing to please. Some can be timid. Generally good with other dogs in the household, some are aggressive toward strange dogs. Barking can be a definite problem; some also whine or drool.",https://www.dogbreedslist.info/uploads/dog-pictures/american-water-spaniel-2.jpg,Average $1200 - $1500 USD,Hypoallergenic: No
Affenpinscher,"The Affenpinscher is square-proportioned, compact and sturdy, with medium bone. It is a smaller version of a working terrier, and as such is not a delicate dog. This is an active, tough dog that is agile enough to catch and dispatch rats and mice. Its gait is light, sound and confident. The affenpinscher has a monkeylike facial expression with long eyebrows and beard, which lends it an air of comic seriousness. This breed's rough coat is about 1 inch long on its body and somewhat longer on its head, neck, chest, stomach and legs. The coat type provided protection from vermin and harsh conditions.","The affenpinscher lives up to its name — ""monkey terrier"" — in both looks and actions. A terrier at heart, it is busy, inquisitive, bold and stubborn, but it also loves to monkey around, being playful and mischievous. It tends to bark and even climb. Unlike most terriers, it is fairly good with other dogs and pets. This little dog is best with a family that likes entertainment and has a very good sense of humor.",https://www.dogbreedslist.info/uploads/dog-pictures/affenpinscher-2.jpg,Average $1800 - $2500 USD,Hypoallergenic: Yes
American English Coonhound,"Renowned for his speed and endurance, the American English Coonhound has the strength, grace and attitude of a well-conditioned athlete. Capable of hunting fox and raccoon all night long, he has an effortless trot that shows off this endurance. The breed's hard, protective coat is of medium length and can be red and white ticked, blue and white ticked, tri-colored with ticking, red and white, and white and black.","He is an ideal partner to go running or cycling with. They need mental and physical stimulation to keep them occupied, fit and healthy. He will enjoy both a jog in the park as well as a nap on the couch. Keep in mind, these dogs are prey-driven and should always be walked on a leash. This hound needs a firm, but kind, hand for successful training. The American English Coonhound takes more time to train, repetition and patience are the name of the game. This breed can be easily distracted more so than the other Coonhound breeds. They need consistent and gentle guidance during training. Start training this breed early and your training work is lifelong.",https://www.dogbreedslist.info/uploads/dog-pictures/english-coonhound-2.jpg,Average $800 - $1200 USD,Hypoallergenic: No
American Foxhound,"The American foxhound is slighter of bone and higher on leg than the English foxhound, with more rear angulation and arch over the loin. These attributes give it greater speed and agility for hunting over rough terrain. It has a melodious voice when on the trail. Its coat is hard and of medium length. Its expression is gentle and pleading.","Although by tradition the foxhound is not a house pet, it is actually well-mannered in the home. It gets along best with human or canine companionship. It is a tolerant, amiable and gentle dog, even though it is not very demonstrative. Most are reserved with strangers. It is first and foremost a hunter, ever ready to hit the trail. It needs daily exercise in a safe area. Once on a scent, it will follow gleefully, heedless of commands. This is a dog that likes the outdoors; it is not a city dog. It bays.",https://www.dogbreedslist.info/uploads/dog-pictures/american-foxhound-2.jpg,Average $500 - $700 USD,Hypoallergenic: No
Azawakh,"Morphology is very similar to that of the Middle Eastern and South Indian sight hounds, all swift, high-bred coursing hounds, although there are several obvious differences. For example, a short, flat back combined with long legs place the hips higher than the withers. The Azawakh is almond eyed and thin. It moves with a distinctly feline gait and can be found in a variety of colors as well as varying degrees of refinement, though format is basically constant. The standards call for a hound from 33 to 55 pounds (15 to 25 kg); its height is 24 to 29 inches (61 to 74 cm). The coat is very short and almost absent on the belly. Its bone structure shows clearly through the skin and musculature. Its muscles are ""dry"", meaning that they are quite flat, unlike the Greyhound and Whippet. In this respect it is similar in type to the Saluki.","Relative to its native environment, the smooth-coated Azawakh hound mentally and structurally manifests his vocation as hunter, protector and companion. Quick, attentive, distant, proud and alert, he remains instinctively reserved with strangers and gentle with those he loves. Socialize well. Especially slender and elegant, his frame and muscles are visible under a dry, fine skin. The Azawakh has a natural tendency to guard. Be sure you are this dog's calm, but firm, confident and consistent pack leader. Does best with an owner who is even-tempered, displaying a natural, but gentle authority over the dog. Independent and exceptionally fast, these dogs can reach up to 37 mph (60 km/h).",https://www.dogbreedslist.info/uploads/dog-pictures/azawakh-2.jpg,Average $2000 - $2500 USD,Hypoallergenic: No
American Pit Bull Terrier,"The Pit Bull immediately strikes one as being a dog of power, passion and undying willingness. The brick-like head, which is especially broad between the cheeks (to house the powerful jaws), is carried upon a thickly muscled, well-defined neck. The neck runs into a deep, thick, well-sprung chest. The American Pit Bull is a very muscular, stocky, yet agile dog that is extremely strong for his size.The tail tapers to a point. The ears are generally cropped, though this is optional. Docked tails are not accepted by the UKC or the ADBA. The eyes are round. Both the ADBA and the UKC do not accept blue eyes or the coat color merle. The American Pitbull Registry does accept a merle coat. The teeth should form a scissors bite. Its coat is made up of thick, short, shiny hair. All colors are admissible. Shades of brown to red with a matching red/brown nose are referred to as red-nose Pit Bulls. Shades of gray with a matching gray nose are referred to as blue-nose Pit Bulls.","The essential characteristics of the American Pit Bull Terrier are strength, confidence, and zest for life. This breed is eager to please and brimming over with enthusiasm. APBTs make excellent family companions and have always been noted for their love of children. Because most APBTs exhibit some level of dog aggression and because of its powerful physique, the APBT requires an owner who will carefully socialize and obedience train the dog. The breed’s natural agility makes it one of the most capable canine climbers so good fencing is a must for this breed. The APBT is not the best choice for a guard dog since they are extremely friendly, even with strangers. Aggressive behavior toward humans is uncharacteristic of the breed and highly undesirable. This breed does very well in performance events because of its high level of intelligence and its willingness to work.",https://www.dogbreedslist.info/uploads/dog-pictures/american-pit-bull-terrier-2.jpg,Average $500 - $1000 USD,Hypoallergenic: No
American White Shepherd,"The White Shepherd is a medium-sized, well-balanced, muscular dog, slightly longer than tall, with a medium length, pure white coat, erect ears, and a low-set natural tail that normally reaches to the hock and is carried in a slight curve like a saber. The outline of the White Shepherd is made up of smooth curves rather than angles. Gender differences are readily apparent. The White Shepherd should be evaluated as an all-around working dog, and exaggerations or faults should be penalized in proportion to how much they deviate from breed type; and how much they interfere with the dog’s ability to work. Working dogs are not to be penalized under any conditions for scars or blemishes that are due to occupational injuries.","The White Shepherd has a distinct personality marked by self-confidence. The breed is poised, but when the situation demands, they are eager, alert and ready to serve in any capacity. White Shepherds demonstrate both herding and protective instincts. With those he/she knows, the White Shepherd is open and friendly. With strangers, she/he is observant and may be somewhat aloof but not apprehensive. They enjoy running, playing fetch or any activity with their human family. This is a joyful, active, intelligent and easy to train working dog with the ability to adapt and integrate to all kinds of social events and situations. Timidity in a mature dog or aggressive behavior is not typical of this breed. White Shepherds are very loyal and tend to be especially protective of the young of various species. With their playful and curious personalities, they make wonderful companions although some do have the tendency toward being quite vocal by exhibiting whining, grunting, moaning and sometimes howling.",https://www.dogbreedslist.info/uploads/dog-pictures/american-white-shepherd-2.jpg,Average $1000 - $1500 USD,Hypoallergenic: Unknown
Alapaha Blue Blood Bulldog,"The Alapaha Blue Blood Bulldog is a well-developed, exaggerated bulldog with a broad head and natural drop ears. The prominent muzzle is covered by loose upper lips. The prominent eyes are set well apart. The Alapaha's coat is relatively short and fairly stiff. Preferred colors are blue merle, brown merle, or red merle all trimmed in white or chocolate and white. Also preferred are the glass eyes (blue) or marble eyes (brown and blue mixed in a single eye). The ears and tail are never trimmed or docked. The body is sturdy and very muscular. The well-muscled hips are narrower than the chest. The straight back is as long as the dog is high at the shoulders. The dewclaws are never removed and the feet are cat-like.","The Alapaha Blue Blood Bulldog is dutiful and quickly trainable. This breed is named as such for its streak of ""royalty."" It is a great watch and guard dog. They will fight to the death to defend their owners and make excellent companion dogs. Excellent with and protective of children. These are active, athletic and mindful dogs with a lot of heart. The objective in training this dog is to achieve a pack leader status. It is a natural instinct for a dog to have an order in their pack. When we humans live with dogs, we become their pack. The entire pack cooperates under a single leader; lines are clearly defined. You and all other humans MUST be higher up in the order than the dog. That is the only way your relationship can be a complete success.",https://www.dogbreedslist.info/uploads/dog-pictures/alapaha-blue-blood-bulldog-2.jpg,Average $1500 - $2500 USD,Hypoallergenic: No
Alaskan Klee Kai,"The Alaskan Klee Kai is a small version of a type of dog referred to as the Alaskan Husky, with a wedge-shaped head featuring a striking masked face, prick ears, and a double coat. The length of body is just slightly longer than the height. The tail is well-furred and curls over the back or to either side when the dog is alert or moving. The appearance of the Alaskan Klee Kai reflects the breed’s Northern heritage.","The most distinctive characteristic of the Alaskan Klee Kai is the facial mask, which must be clearly visible due to contrasting colors. The full face mask is the most desirable. The Alaskan Klee Kai is very curious, active, quick and agile. His loyalty and alertness make the Alaskan Klee Kai an excellent watchdog, who may be territorial despite his small size. While affectionate with family members, the Alaskan Klee Kai is reserved and cautious with strangers and in unfamiliar situations.",https://www.dogbreedslist.info/uploads/dog-pictures/alaskan-klee-kai-2.jpg,Average $1500 - $2000 USD,Hypoallergenic: No
Appenzeller Sennenhund,"The Appenzeller Sennenhund is a medium-sized mountain dog, 18.5-23 ins (47–58 cm) at the withers and weighing 49-71 lbs (22–32 kg). Like the other Sennenhunds, the Appenzeller Sennenhund has a heavy, molosser-like build and a distinctive tricolour coat. The breed's ears are small and triangular, set high and hanging down against the dog's cheeks, similar to a button ear. Faults in the breed's appearance include wall eye, kinked tail, a single coat, and a coat that is not tricolour.","As with all medium to large, very active working dogs, the Appenzeller Sennenhund should be well socialized early in life with other dogs and people and provided with regular activity and training if they are to be safely kept as a pet. If trained properly, they bond closely with their owners and like to seek for attention. As a result of careful regulated breeding, the Appenzeller breed, as a whole, though individual genetic lines vary, is an extremely healthy breed. Especially for a dog of its size and weight. According to the breed standard, the Appenzeller Sennenhund are lively, high spirited, athletic and suspicious of strangers. Due to his large size and high energy levels, the Appenzeller Sennenhund is not recommended as an apartment dog.",https://www.dogbreedslist.info/uploads/dog-pictures/appenzeller-sennenhund-2.jpg,Average $1800 - $2200 USD,Hypoallergenic: No
Australian Bulldog,"(Aussie Bulldog) Australian Bulldogs have stout, compact bodies that are very strong and well-muscled. Generally, the bodies of female Australian Bulldogs should be longer than those of their male counterparts. Australian Bulldogs have a level top line and a broad chest with the brisket well let down. Their tail cartridge is straight off the back, and their tail may or may not be docked. Australian Bulldogs have a very strong, square head that is substantially deep and wide at the muzzle. They have a pronounced stop between their large, wide-set eyes. This breed has nose wrinkle. Australian Bulldogs bred for show have a near level bite and large teeth. Their wide jaw structure should be square at the top and bottom. Australian Bulldogs have a short, smooth coat that exists in a variety of colors. There are at least five shades of brindle that are suitable for show. Australian Bulldogs may also have a pied coat, meaning there is one coat color on the body that is more prominent than another. Australian Bulldogs often have a series of patches on their body.","The Australian Bulldog is a medium sized dog that loves being part of a family. The Aussie Bulldog is intelligent, loving and loyal with a sound temperament. Good with children and fun-loving, this breed is pretty easygoing. It will enjoy playing with a ball or Frisbee and loves to play or swim in water. It is a good watch dog but not a guard dog, though its appearance can be a deterrent. Given the alertness of this breed, the Aussie Bulldog does have the ability to be a dependable watch dog at a mature age. With its intelligence and loyalty it is a very easy dog to teach at home, but obedience training is recommended (as with any breed of dog). The Aussie Bulldog has stamina and its personality is one everyone could get attached to. This breed craves leadership from its owners. Like all dogs, they need a firm, but calm, confident and consistent pack leader and daily mental and physical exercise to avoid any behavior issues.",https://www.dogbreedslist.info/uploads/dog-pictures/australian-bulldog-2.jpg,Average $2500 - $3500 USD,Hypoallergenic: No
Australian Kelpie,"The Australian Kelpie, or simply Kelpie, is an Australian sheep dog successful at mustering and droving with little or no guidance. It is a medium-sized dog and comes in a variety of colours. The Kelpie has been exported throughout the world and is used to muster livestock, primarily sheep, cattle and goats. The Australian Kelpie has a compact body and well-developed limbs. Slightly longer than he is tall, the Kelpie has a broad chest and firm hindquarters that contribute to his flexible, energized appearance. The head is long and narrow. The medium length tail is low set. The short, compact feet have well arched toes. The double coat consists of a short and dense undercoat and a hard, straight and weather-repellent outer coat. Color possibilities include black and red, each with or without tan and fawn, chocolate and blue. Kelpie owners are more interested in the breed's working ability then its appearance.","The Kelpie is extremely alert, eager and highly intelligent, with a mild, tractable disposition, marked loyalty and devotion to duty. It has a natural instinct and aptitude in the working of livestock, both in a confined area and in open country. An open, friendly, alert but placid disposition is essential, with a good balance between keenness to work and ability to rest.",https://www.dogbreedslist.info/uploads/dog-pictures/australian-kelpie-2.jpg,Average $1200 - $1600 USD,Hypoallergenic: No
Australian Stumpy Tail Cattle Dog,"The Stumpy Tail Cattle Dog is a normally proportioned, rugged dog with pricked (standing up) ears and long legs. The breed's most distinctive feature, for which the breed is named, is the frequent lack of a tail. When there is a tail, it is quite short, no longer than 10 cm (4 ins), and undocked. The coat is medium length to short, straight, dense and harsh. The coat color is a speckled red or speckled blue. 46–51 centimetres (18–20 in) at the withers for dogs, with females slightly smaller. The Australian Cattle Dog is a related breed (with a long tail) that is similar in appearance to the Stumpy, but the Australian Cattle is proportionally heavier and less leggy.","The “Stumpy” possesses a natural aptitude in the working and controlling of cattle, and a loyal, courageous and devoted disposition. It is ever alert, watchful and obedient, though suspicious of strangers. At all times, it must be amenable to handling in the show ring. Any deviation from the standard is considered a fault and is to be penalized according to the degree of deviation.",https://www.dogbreedslist.info/uploads/dog-pictures/australian-stumpy-tail-cattle-dog-2.jpg,Average $500 - $1000 USD,Hypoallergenic: No
Austrian Black and Tan Hound,"Colouring in this breed is highly important; it must be black with small, clearly defined, light to dark fawn markings. Two fawn marks above the eyes must be present. The coat is smooth, dense and short (about 2 cm in length). The long tail is slightly bent and the ears are medium in length and lie flat with rounded tips. Males are 50–56 centimetres (20–22 inches), while females are 48–54 centimetres (19–21 inches). They weigh 15 to 22 kg (33-49 pounds).","It has a keen sense of smell. It is an elegant runner, used in all sorts of game. It has a lovely voice, and makes a great pet due to its good-natured personality. It is not a dog wanting to be in a city. A suitable home will be in a rural area where the dog will have lots of space to run unrestricted by a leash. It loves to work.",https://www.dogbreedslist.info/uploads/dog-pictures/austrian-black-and-tan-hound-2.jpg,Average $400 - $600 USD,Hypoallergenic: No
Austrian Pinscher,"The Austrian Shorthaired Pinscher has a pear-shaped head. The powerful muzzle is relatively short. The feet have well-arched toes. The elbows are fairly close to the body. The chest is wide and well developed. It has a short, hard topcoat as well as undercoat. Coat colors come in red, black, brown, fawn, brindle or black/tan, with limited white markings common. The tail is docked or left-curled over the back.","The breed is described as ""a pleasant companion"" for rural and suburban areas. The breed standard describes the ideal Austrian Pinscher's temperament and character as playful, not inclined to be a hunter, and being an ""incorruptible guard"". Assertive, lively and alert, the breed is devoted to people it is familiar with and suspicious of strangers, making it a useful guard dog.",https://www.dogbreedslist.info/uploads/dog-pictures/austrian-pinscher-2.jpg,Average $400 - $600,Hypoallergenic: Unknown
Alaskan Husky,"The Alaskan Husky is not considered a pure breed. It is defined only by its purpose, which is that of a highly efficient sled dog. The husky is a blend of various Northern breeds, chosen particularly for skills such as pulling. Specializations in type exist within the category, such as freighting dogs (Mackenzie River husky, Malamute), sprint Alaskans (Eurohound), and distance Alaskans.","Alaskan Huskies are primarily bred as working dogs. They have greater endurance in sled racing than Siberian Huskies do. Gentle and playful, this cheerful dog is very fond of his or her family. A puppy at heart, they are clever, sociable and loving, easy-going and docile, though they do generally have a lot of energy, especially as puppies. Good with children and friendly with strangers, they are not watchdogs, for they bark little and love everyone. Huskies are very intelligent and trainable, but they have a mind of their own and will only obey a command if they see the point and if you do not display leadership, they will not see the point in obeying you. Training takes patience, consistency and an understanding of the Arctic dog character.",https://www.dogbreedslist.info/uploads/dog-pictures/alaskan-husky-2.jpg,Average $1000 - $1500 USD,Hypoallergenic: No
American Bulldog,"The American Bulldog is a powerful, athletic short-coated dog, strongly muscled, and well boned. The body is just slightly longer than tall. The head is large and broad, with a wide muzzle. Ears are small to medium in size, high set, and may be drop, semi-prick, rose, or cropped. The tail may be docked or natural. The American Bulldog comes in solid colors, white with colored patches, and brindle. Gender differences are well expressed in this breed, with males typically larger and more muscular than females. Honorable scars resulting from field work are not to be penalized. The American Bulldog should be evaluated as a working dog, and exaggerations or faults should be penalized in proportion to how much they interfere with the dog’s ability to work.","The essential characteristics of the American Bulldog are those which enable it to work as a hog and cattle catching dog, and a protector of personal property. These tasks require a powerful, agile, confident dog with a large head and powerful jaws. The American Bulldog is a gentle, loving family companion who is fearless enough to face an angry bull or a human intruder. Note: It is common for young American Bulldogs to be somewhat standoffish with strangers, and judges should not penalize this. By the time the dog is around 18 months of age, however, the breed’s normal confidence asserts itself.",https://www.dogbreedslist.info/uploads/dog-pictures/american-bulldog-2.jpg,Average $1500 - $3500 USD,Hypoallergenic: No
Andalusian Hound,"As in the Portuguese Podengo, the Andalusian Hound comes in three sizes (large, medium and small) and with three types of coat (wire-haired, long-haired and smooth). This combination of factors can results in nine different varieties. There is also a dwarf or basset variety derived from a medium-sized short-haired Andalusian Hound — called Maneto from its short, stout legs — which the RSCE has provisionally accepted as a distinct breed.","Andalusian Podencos, like other hounds, have excellent sight, hearing and smell, which makes them good hunters, often employed for hunting rabbits. Andalusians and mastiffs form the heart of the rehalas (teams of 20 to 24 hunting dogs) of central and southern parts of the Iberian Peninsula; medium and smaller dogs search out deer or wild boar, whilst the larger hounds are used for attacking the prey. One of the most typical functions of the large Andalusian hound was that of the so-called quitaor accompanying the Spanish Greyhound colleras during hare hunting. The quitaor‘s job consisted primarily of flushing out the hares from their home or hiding place and killing them; then, together with the Greyhounds, retrieving them for the owner. In Andalusian farmhouses the larger hounds were used as watchdogs, and the smaller hounds were used to kill rodents.",https://www.dogbreedslist.info/uploads/dog-pictures/andalusian-hound-2.jpg,Average $1500 - $2500 USD,Hypoallergenic: No
